Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price
Tata Indica V2 eLS,Chennai,2015,100073,Diesel,Manual,Second,25,1396,69,5,763000
Maruti 800 Std BSIII,Jaipur,2006,165000,Petrol,Manual,First,16.1,796,37,4,788000
Volkswagen Polo 1.2 MPI Highline,Kolkata,2015,22000,Petrol,Manual,First,16.47,1198,74,5,1015000
Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,Petrol,Automatic,First,14.62,1999,149.92,5,2177000
Toyota Fortuner 4x2 4 Speed AT,Hyderabad,2012,152000,Diesel,Automatic,First,11.5,2982,169,7,3717000
Maruti Baleno Zeta 1.2,Coimbatore,2019,17705,Petrol,Manual,First,21.4,1197,83.1,5,880000
Maruti Baleno Zeta 1.2,Mumbai,2016,12000,Petrol,Manual,First,21.4,1197,83.1,5,880000
Mini Cooper Countryman D,Hyderabad,2013,51000,Diesel,Automatic,First,23.8,1998,112,5,4212000
Mercedes-Benz S Class 2005 2013 320 CDI,Chennai,2009,42000,Diesel,Automatic,Second,13,2987,210,5,4949000
Maruti Alto K10 LXI,Delhi,2015,51000,Petrol,Manual,First,20.92,998,67.1,5,436000
Maruti Swift VXI Optional,Kochi,2017,42527,Petrol,Manual,First,20.4,1197,81.8,5,788000
Chevrolet Sail LT ABS,Kolkata,2014,45000,Diesel,Manual,First,22.1,1248,74,5,1131500
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Kolkata,2011,70000,Diesel,Manual,First,12.8,2494,102,8,2401000
Toyota Fortuner 3.0 Diesel,Mumbai,2009,92000,Diesel,Manual,First,11.5,2982,171,7,3717000
BMW 3 Series 320d Sport Line,Hyderabad,2012,57156,Diesel,Automatic,Second,18.88,1995,184,5,5443000
Skoda Octavia Ambition 1.4 TSI MT,Coimbatore,2016,53211,Petrol,Manual,First,16.8,1395,138.02,5,2583000
Toyota Fortuner 3.0 Diesel,Kolkata,2019,80000,Diesel,Manual,First,11.5,2982,171,7,3717000
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Bangalore,2009,74000,Diesel,Automatic,First,15.5,1896,105,5,1015000
Hyundai i20 1.4 CRDi Asta,Kolkata,2011,37000,Diesel,Manual,First,23,1396,90,5,1025000
Tata Manza Club Class Quadrajet90 LX,Mumbai,2013,64000,Diesel,Manual,Second,21.02,1248,88.76,5,763000
Volkswagen Vento Petrol Highline,Pune,2013,57197,Petrol,Manual,First,15.04,1598,103.6,5,1323000
Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,Diesel,Automatic,First,17.6,1582,126.2,5,1835000
Maruti Ritz VXI,Mumbai,2014,33000,Petrol,Manual,First,21.1,1197,85.8,5,788000
Honda CR-V 2.0L 2WD MT,Delhi,2008,70000,Petrol,Manual,First,13.1,1997,141.1,5,3351000
Mahindra XUV500 W8 2WD,Delhi,2012,75000,Diesel,Manual,Second,15.1,2179,140,7,1886500
Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,Diesel,Manual,First,21.66,1498,108.62,5,919000
Tata Zest Revotron 1.2 XT,Kolkata,2015,7445,Petrol,Manual,First,17.57,1193,88.7,5,809000
Jaguar XJ 3.0L Portfolio LWB,Kochi,2016,17652,Diesel,Automatic,First,12.9,2993,270.88,5,6967500
Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,Petrol,Automatic,First,14.28,1798,138.03,5,2325000
Maruti A-Star Vxi,Pune,2011,69000,Petrol,Manual,Second,19,998,66.1,5,788000
Honda Accord VTi-L (AT),Mumbai,2007,80000,Petrol,Automatic,First,11.1,2354,142,5,1358000
Hyundai i20 Asta (o),Delhi,2014,42365,Petrol,Manual,First,17,1197,80,5,1025000
Toyota Fortuner 4x2 AT,Delhi,2013,123000,Diesel,Automatic,First,12.55,2982,168.5,7,3717000
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mumbai,2011,40000,Petrol,Automatic,Second,11.74,1796,186,5,4949000
Maruti Baleno Alpha 1.3,Hyderabad,2016,30112,Diesel,Manual,First,27.39,1248,74,5,880000
Maruti Ertiga VDI,Kochi,2017,43775,Diesel,Manual,First,20.77,1248,88.76,7,1127000
Land Rover Range Rover Sport SE,Kochi,2019,26013,Diesel,Automatic,First,12.65,2993,255,5,13900000
Chevrolet Optra Magnum 1.6 LT ABS BS3,Mumbai,2012,56000,Petrol,Manual,First,12.9,1598,102.5,5,1131500
Honda Civic 2006-2010 1.8 V AT,Hyderabad,2008,95000,Petrol,Automatic,Second,12.9,1799,130,5,1358000
BMW X3 xDrive20d,Coimbatore,2014,41089,Diesel,Automatic,First,16.09,1995,184,5,6959000
Skoda Laura Ambition 2.0 TDI CR AT,Mumbai,2011,41988,Diesel,Automatic,First,20,1968,138.1,5,2583000
Maruti Swift Dzire VDI,Delhi,2013,72486,Diesel,Manual,First,23.4,1248,74,5,788000
Volvo V40 Cross Country D3,Pune,2013,92000,Diesel,Automatic,First,23.3,1984,150,5,3790000
Maruti Swift Dzire ZXi,Delhi,2013,40000,Petrol,Manual,First,17.5,1298,85.8,5,788000
Land Rover Range Rover 2.2L Pure,Bangalore,2014,56000,Diesel,Automatic,First,12.7,2179,187.7,5,12000000
Honda Accord 2.4 AT,Mumbai,2008,125000,Petrol,Automatic,Third,11.7,2354,177.6,5,1358000
Toyota Innova 2.5 G (Diesel) 8 Seater,Kochi,2017,29219,Diesel,Manual,First,12.99,2494,100.6,8,2401000
Toyota Fortuner 4x4 MT,Hyderabad,2018,39927,Diesel,Manual,First,12.55,2982,168.5,7,3717000
Honda Jazz 1.2 E i VTEC,Kochi,2018,38593,Petrol,Manual,First,18.7,1199,88.7,5,960000
Honda City 1.5 V MT,Kolkata,2015,32000,Petrol,Manual,First,17,1497,118,5,1358000
Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,Diesel,Automatic,First,28.4,1248,73.75,5,1152000
Nissan Sunny 2011-2014 Diesel XL,Pune,2014,95000,Diesel,Manual,First,21.64,1461,84.8,5,1133000
Toyota Innova 2.5 G (Diesel) 8 Seater,Chennai,2014,194000,Diesel,Manual,First,12.99,2494,100.6,8,2401000
Honda Brio S MT,Coimbatore,2016,14821,Petrol,Manual,First,19.4,1198,86.8,5,662000
Volkswagen Vento Petrol Trendline,Bangalore,2012,52000,Petrol,Manual,First,15.04,1598,103.6,5,1323000
Mahindra XUV500 W4,Mumbai,2016,33000,Diesel,Manual,First,16,2179,140,7,1886500
Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2016,29200,Diesel,Manual,First,23,1498,98.96,5,1323000
Skoda Yeti Ambition 4X2,Hyderabad,2012,99754,Diesel,Manual,First,17.72,1968,108.49,5,2583000
Hyundai i10 Sportz,Chennai,2012,49000,Petrol,Manual,First,20.36,1197,78.9,5,1025000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Hyderabad,2005,299322,Diesel,Manual,First,12.8,2494,102,8,2401000
Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,Diesel,Manual,First,20.65,1248,88.7,5,1006000
Maruti Swift VDI,Delhi,2014,56000,Diesel,Manual,First,22.9,1248,74,5,788000
Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,Diesel,Automatic,First,21.72,1498,108.4,5,1534000
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,Diesel,Manual,First,13.68,2393,147.8,8,2401000
Hyundai Verna 1.6 SX VTVT,Pune,2014,48000,Petrol,Manual,Second,17.01,1591,121.3,5,1425500
Honda City i VTEC VX Option,Coimbatore,2019,23882,Petrol,Manual,First,17.4,1497,117.3,5,1358000
Honda City i DTEC SV,Hyderabad,2014,65000,Diesel,Manual,First,26,1498,98.6,5,1358000
Volkswagen Vento Diesel Highline,Jaipur,2011,50000,Diesel,Manual,First,20.54,1598,103.6,5,1323000
Audi Q5 2008-2012 3.0 TDI,Chennai,2014,25000,Diesel,Automatic,First,12.19,2967,236,5,5314000
Maruti Alto 800 LXI,Chennai,2015,21000,Petrol,Manual,First,22.74,796,47.3,5,436000
Tata Manza ELAN Quadrajet BS IV,Pune,2012,148000,Diesel,Manual,Second,21.12,1248,88.8,5,763000
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Delhi,2016,68000,Petrol,Manual,First,15.29,1591,121.3,5,1606000
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Bangalore,2014,52000,Diesel,Automatic,First,12,2987,224,7,4949000
Mahindra Thar CRDe,Jaipur,2016,19000,Diesel,Manual,First,16.55,2498,105,6,1139000
Hyundai Verna 1.6 CRDI,Mumbai,2011,74000,Diesel,Manual,Second,22.32,1582,126.3,5,1425500
Ford Aspire Titanium Diesel,Coimbatore,2017,30279,Diesel,Manual,First,26.1,1498,99,5,979000
Mini Cooper 3 DOOR D,Mumbai,2016,20000,Diesel,Automatic,First,20.7,1496,113.98,4,3500000
Maruti Omni 8 Seater BSIV,Hyderabad,2013,34834,Petrol,Manual,First,14,796,35,5,788000
Mahindra Verito 1.5 D4 BSIV,Pune,2015,90000,Diesel,Manual,Second,21.03,1461,65,5,926000
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Coimbatore,2016,38730,Diesel,Automatic,First,14.21,2143,203,5,8697000
Renault Duster 110PS Diesel RxZ,Kochi,2016,57390,Diesel,Manual,First,19.01,1461,108.45,5,1505000
Maruti Swift Dzire Tour LDI,Kolkata,2016,100000,Diesel,Manual,First,23.4,1248,74,5,788000
Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,50000,Petrol,Manual,First,16.47,1198,73.9,5,1015000
Mahindra XUV500 W10 2WD,Coimbatore,2017,64961,Diesel,Manual,First,16,2179,140,7,1886500
Volkswagen Polo 1.2 MPI Highline,Coimbatore,2014,72465,Petrol,Manual,First,16.47,1198,74,5,1015000
Maruti Ritz VXI,Hyderabad,2012,68776,Petrol,Manual,First,21.1,1197,85.8,5,788000
Chevrolet Optra 1.6 Elite,Pune,2005,150000,Petrol,Manual,First,14.7,1598,113.85,5,1131500
Toyota Innova 2.5 GX 7 STR BSIV,Delhi,2012,68000,Diesel,Manual,First,12.8,2494,102,7,2401000
Honda City i DTec SV,Delhi,2015,33000,Diesel,Manual,First,26,1498,98.6,5,1358000
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2017,22389,Petrol,Manual,First,17,1198,73.75,5,868000
Maruti SX4 ZDI Leather,Mumbai,2012,90000,Diesel,Manual,First,21.5,1248,88.8,5,788000
Maruti Swift ZXI,Chennai,2012,42000,Petrol,Manual,Third,18.6,1197,85.8,5,788000
Hyundai Creta 1.6 CRDi SX,Pune,2017,38767,Diesel,Manual,First,19.67,1582,126.2,5,1606000
Audi Q7 35 TDI Quattro Technology,Bangalore,2015,21000,Diesel,Automatic,First,12.07,2967,241.4,7,10196000
Maruti Alto LXi BSIII,Coimbatore,2010,59136,Petrol,Manual,First,19.7,796,46.3,5,436000
Honda Amaze SX i-DTEC,Kolkata,2014,36000,Diesel,Manual,First,25.8,1498,98.6,5,854000
Volkswagen Passat Diesel Highline 2.0 TDI,Chennai,2011,95000,Diesel,Automatic,Second,18.33,1968,167.7,5,1015000
Hyundai Elantra CRDi SX AT,Mumbai,2013,51000,Diesel,Automatic,First,19.5,1582,126.24,5,2177000
Maruti Wagon R VXI BS IV,Kochi,2011,36411,Petrol,Manual,First,18.9,998,67.1,5,551000
Land Rover Discovery Sport TD4 HSE 7S,Mumbai,2017,40000,Diesel,Automatic,First,12.81,1999,148.31,7,6639000
Honda City i VTEC SV,Pune,2016,27300,Petrol,Manual,First,17.8,1497,117.3,5,1358000
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2011,29813,Petrol,Automatic,Second,14.74,1991,181.03,5,4949000
Maruti Wagon R LX BS IV,Pune,2011,71000,Petrol,Manual,First,20.51,998,67.04,5,551000
Hyundai Verna 1.6 CRDI,Kolkata,2014,32000,Diesel,Manual,First,22.32,1582,126.3,5,1425500
Maruti Ertiga VXI CNG,Mumbai,2017,19234,CNG,Manual,First,17.5,1373,80.46,7,1127000
Volkswagen Tiguan 2.0 TDI Highline,Jaipur,2017,50510,Diesel,Automatic,First,17.06,1968,141,5,3645000
BMW X1 sDrive 20d Exclusive,Pune,2011,102000,Diesel,Automatic,First,15.06,1995,177,5,4818000
Hyundai Grand i10 1.2 CRDi Sportz Option,Kolkata,2014,42277,Diesel,Manual,First,24,1186,73.97,5,745000
Mercedes-Benz E-Class E250 CDI Avantgrade,Mumbai,2014,46000,Diesel,Automatic,First,13,2143,201.1,5,8697000
Mahindra Bolero ZLX,Chennai,2012,35000,Diesel,Manual,First,13.6,2523,62.1,7,1101000
Hyundai Grand i10 Asta Option,Bangalore,2015,50000,Petrol,Manual,First,18.9,1197,82,5,745000
Hyundai i10 Magna 1.2,Mumbai,2008,62000,Petrol,Manual,Second,20.36,1197,78.9,5,1025000
Volkswagen Jetta 2012-2014 2.0L TDI Comfortline,Mumbai,2012,78000,Diesel,Manual,First,19.33,1968,138.1,5,1015000
Skoda Yeti Elegance,Chennai,2011,79000,Diesel,Manual,First,17.67,1968,138.08,5,2583000
Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,Diesel,Automatic,First,14.75,2967,245,7,9138000
Toyota Fortuner 3.0 Diesel,Chennai,2010,135000,Diesel,Manual,Second,11.5,2982,171,7,3717000
Maruti Wagon R VXI Minor ABS,Kochi,2013,36716,Petrol,Manual,First,18.9,1061,67,5,551000
Hyundai EON Era,Coimbatore,2013,65060,Petrol,Manual,First,21.1,814,55.2,5,1025000
Honda Brio S MT,Delhi,2013,33000,Petrol,Manual,First,19.4,1198,86.8,5,662000
Maruti Alto 800 VXI,Kolkata,2015,11110,Petrol,Manual,First,22.74,796,47.3,5,436000
Mahindra Bolero ZLX,Jaipur,2013,63000,Diesel,Manual,First,15.96,2523,62.1,7,1115000
Honda City i VTEC SV,Mumbai,2015,27030,Petrol,Manual,First,17.8,1497,117.3,5,1358000
Skoda Rapid 1.6 MPI Elegance Black Package,Mumbai,2015,19600,Petrol,Manual,First,15,1598,103.52,5,1422000
Maruti Swift VVT VXI,Pune,2016,27755,Petrol,Manual,First,22,1197,81.8,5,788000
Hyundai EON Magna Plus,Hyderabad,2013,20000,Petrol,Manual,Second,21.1,814,55.2,5,1025000
Maruti Swift Dzire ZXI,Kochi,2015,24782,Petrol,Manual,First,20.85,1197,83.14,5,788000
Nissan Micra XV CVT,Coimbatore,2014,47303,Petrol,Automatic,First,19.34,1198,76,5,947000
Audi Q7 4.2 FSI quattro,Delhi,2008,71000,Petrol,Automatic,First,8.3,4134,250,7,10196000
Maruti Swift Vdi BSIII,Pune,2010,135000,Diesel,Manual,First,17.8,1248,75,5,788000
Tata Xenon XT EX 4X2,Jaipur,2017,1000,Diesel,Manual,First,13.49,2179,138.03,5,763000
Volkswagen Polo 1.5 TDI Comfortline,Kolkata,2016,29000,Diesel,Manual,First,20.14,1498,88.8,5,1015000
Honda City i VTEC SV,Kochi,2016,36367,Petrol,Manual,First,17.8,1497,117.3,5,1358000
Honda City i VTEC V,Bangalore,2015,38000,Petrol,Manual,First,17.4,1497,117.3,5,1358000
Maruti 800 AC BSIII,Hyderabad,2011,83969,Petrol,Manual,First,16.1,796,37,4,788000
Volkswagen Polo 1.5 TDI Trendline,Jaipur,2014,82621,Diesel,Manual,First,20.14,1498,88.8,5,1015000
Chevrolet Captiva LTZ VCDi,Pune,2009,89000,Diesel,Automatic,First,12.5,1991,147.9,7,1131500
Mahindra XUV500 W10 2WD,Kolkata,2016,54000,Diesel,Manual,First,16,2179,140,7,1886500
Honda Amaze VX i-DTEC,Kochi,2015,61691,Diesel,Manual,First,25.8,1498,98.6,5,854000
Hyundai i20 1.2 Sportz Option,Chennai,2011,32200,Petrol,Manual,Second,17,1197,80,5,1025000
Maruti Wagon R AMT VXI,Jaipur,2016,68630,Petrol,Automatic,First,20.51,998,67,5,551000
Volkswagen Jetta 2013-2015 2.0L TDI Highline AT,Mumbai,2014,61000,Diesel,Automatic,Second,16.96,1968,138.03,5,1015000
Maruti Ciaz 1.4 Zeta,Mumbai,2018,32644,Petrol,Manual,First,20.73,1373,91.1,5,1111000
Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV,Delhi,2012,85000,Diesel,Automatic,First,11.79,2179,120,7,1886500
Chevrolet Aveo U-VA 1.2 LS,Mumbai,2008,75000,Petrol,Manual,Second,15.26,1150,74.9,5,1131500
Maruti Ciaz ZXi Option,Kochi,2016,40347,Petrol,Manual,First,20.73,1373,91.2,5,1111000
Hyundai i20 1.4 CRDi Asta,Hyderabad,2012,60788,Diesel,Manual,First,23,1396,90,5,1025000
Honda Jazz 1.2 SV i VTEC,Kochi,2018,18664,Petrol,Manual,First,18.7,1199,88.7,5,960000
Mahindra XUV500 W10 2WD,Coimbatore,2017,57847,Diesel,Manual,First,16,2179,140,7,1886500
Hyundai i20 1.2 Sportz,Bangalore,2012,52237,Petrol,Manual,First,17,1197,80,5,1025000
Hyundai Verna 1.6 SX,Chennai,2012,128000,Diesel,Manual,First,22.32,1582,126.32,5,1425500
Hyundai i10 Era 1.1,Delhi,2011,54000,Petrol,Manual,First,19.81,1086,68.05,5,1025000
Maruti Celerio VXI AT,Bangalore,2014,49800,Petrol,Automatic,First,23.1,998,67.04,5,587000
Skoda Fabia 1.2 TDI Ambition,Kolkata,2012,98000,Diesel,Manual,First,20.86,1199,73.9,5,2583000
Maruti Swift VDI BSIV,Delhi,2015,60095,Diesel,Manual,First,25.2,1248,74,5,788000
Hyundai i10 Magna(O) with Sun Roof,Pune,2008,68000,Petrol,Manual,Second,16,1086,66.7,5,1025000
Hyundai i10 Magna 1.2,Jaipur,2010,81402,Petrol,Manual,Second,20.36,1197,78.9,5,1025000
Ford Ecosport 1.5 Ti VCT AT Titanium,Mumbai,2013,38000,Petrol,Automatic,First,16.5,1499,110,5,1168500
Mercedes-Benz E-Class 2009-2013 E350 CDI Avantgarde,Kochi,2011,92239,Diesel,Automatic,Second,11.5,2987,210,5,8697000
Maruti Swift VDI BSIV,Ahmedabad,2017,49224,Diesel,Manual,First,25.2,1248,74,5,788000
Maruti 800 Std BSIII,Jaipur,2004,12000,Petrol,Manual,Second,16.1,796,37,4,788000
Maruti Swift Lxi BSIII,Pune,2010,54898,Petrol,Manual,Third,16.1,1298,88.2,5,788000
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Mumbai,2018,2500,Petrol,Manual,First,15.29,1591,121.3,5,1606000
BMW X1 M Sport sDrive 20d,Kochi,2017,32838,Diesel,Automatic,First,17.05,1995,190,5,5097000
Ford Ikon 1.3 Flair,Hyderabad,2006,27076,Petrol,Manual,First,13.8,1299,70,5,1168500
Ford Ecosport 1.5 DV5 MT Titanium Optional,Kochi,2017,75445,Diesel,Manual,First,22.7,1498,89.84,5,1168500
Maruti Ciaz VXi Plus,Kochi,2015,46601,Petrol,Manual,First,20.73,1373,91.1,5,1111000
Volkswagen Passat Diesel Highline 2.0 TDI,Kolkata,2012,72000,Diesel,Automatic,First,18.33,1968,167.7,5,1015000
Honda Jazz 1.5 VX i DTEC,Pune,2017,27000,Diesel,Manual,First,27.3,1498,98.6,5,960000
Audi A4 35 TDI Premium,Coimbatore,2016,68193,Diesel,Automatic,First,17.11,1968,174.33,5,5314000
Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,2017,34429,Diesel,Manual,First,24,1120,70,5,745000
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Delhi,2013,46000,Diesel,Automatic,First,12,2987,224,7,4949000
Toyota Innova 2.5 G (Diesel) 7 Seater,Coimbatore,2013,80544,Diesel,Manual,First,12.99,2494,100.6,7,2401000
Nissan Sunny 2011-2014 XL,Jaipur,2011,42000,Petrol,Manual,Second,16.95,1498,97.7,5,1133000
Skoda Laura Ambiente 2.0 TDI CR AT,Bangalore,2011,94821,Diesel,Automatic,Second,20,1968,138.1,5,2583000
Chevrolet Aveo 1.4 LS,Jaipur,2006,100000,Petrol,Manual,First,14.49,1399,92.7,5,1131500
Honda Mobilio V i DTEC,Mumbai,2014,57000,Diesel,Manual,First,24.2,1498,98.6,7,1358000
Maruti Ritz VDi,Hyderabad,2010,79894,Diesel,Manual,First,21.1,1248,73.9,5,788000
Volkswagen Polo Petrol Highline 1.2L,Coimbatore,2011,44748,Petrol,Manual,Second,16.47,1198,73.9,5,1015000
Nissan Terrano XL,Mumbai,2013,31000,Petrol,Manual,First,13.24,1598,102.5,5,1665000
Maruti A-Star AT Vxi Aktiv,Coimbatore,2013,60587,Petrol,Automatic,Second,16.98,998,66.1,5,788000
Toyota Etios Liva GD,Pune,2011,32000,Diesel,Manual,First,23.59,1364,78.9,5,852500
Honda City 1.5 S MT,Pune,2014,43772,Petrol,Manual,First,17,1497,118,5,1358000
Hyundai Grand i10 AT Asta,Coimbatore,2017,23576,Petrol,Automatic,First,18.9,1197,82,5,745000
Jaguar XE 2.0L Diesel Prestige,Hyderabad,2017,4000,Diesel,Automatic,First,13.6,1999,177,5,5341000
Mahindra Scorpio VLX,Kolkata,2012,62000,Diesel,Manual,First,12.05,2179,120,8,1886500
Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Mumbai,2011,36000,Petrol,Automatic,First,11.74,1796,186,5,4949000
Skoda Superb Elegance 1.8 TSI AT,Delhi,2014,80000,Petrol,Automatic,First,13.7,1798,157.75,5,3336000
Chevrolet Cruze LTZ AT,Pune,2012,137008,Diesel,Automatic,First,18.1,1991,147.9,4,1131500
Mahindra Scorpio VLX,Delhi,2010,61001,Diesel,Manual,First,12.05,2179,120,8,1886500
Hyundai Verna 1.6 SX VTVT (O),Coimbatore,2015,52191,Petrol,Manual,First,17.1,1591,121.3,5,1425500
Hyundai i20 1.4 Asta CRDi with AVN,Hyderabad,2016,77076,Diesel,Manual,First,23,1396,90,5,1025000
Honda City ZX CVT,Hyderabad,2008,56000,Petrol,Automatic,First,16.4,1497,78,5,1358000
Hyundai i10 Magna,Kolkata,2013,21000,Petrol,Manual,First,20.36,1197,78.9,5,1025000
Honda Amaze S i-Dtech,Delhi,2013,89429,Diesel,Manual,First,25.8,1498,98.6,5,854000
Maruti Wagon R LXI,Delhi,2012,45631,Petrol,Manual,Second,22.5,998,67.04,5,459000
Honda Brio S MT,Jaipur,2013,53959,Petrol,Manual,First,19.4,1198,86.8,5,662000
Hyundai i20 1.2 Sportz Option,Kochi,2014,55804,Petrol,Manual,First,17,1197,80,5,1025000
Volkswagen Vento 2013-2015 1.6 Comfortline,Kochi,2016,25899,Petrol,Manual,First,15.04,1598,103.2,5,1323000
Skoda Octavia Rider 1.9 TDI MT,Pune,2008,82000,Diesel,Manual,Second,18.7,1896,66,5,2583000
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Mumbai,2014,52000,Diesel,Automatic,First,13,2143,204,5,8697000
Renault Duster Petrol RxL,Pune,2013,20000,Petrol,Manual,First,13.24,1598,102.57,5,1505000
Hyundai EON Sportz,Hyderabad,2017,31829,Petrol,Manual,First,21.1,814,55.2,5,1025000
Maruti Swift VXI,Coimbatore,2016,18094,Petrol,Manual,Second,18.6,1197,85.8,5,788000
Nissan Micra Diesel,Jaipur,2011,80000,Diesel,Manual,Second,19.5,1461,67.04,5,947000
Audi Q5 3.0 TDI Quattro Technology,Mumbai,2015,11964,Diesel,Automatic,First,13.22,2967,241.4,5,5314000
Hyundai i20 1.2 Spotz,Coimbatore,2018,22684,Petrol,Manual,First,18.6,1197,81.83,5,1025000
Honda Brio S MT,Bangalore,2014,43521,Petrol,Manual,First,19.4,1198,86.8,5,662000
Maruti Swift Dzire ZXi,Kochi,2014,49386,Petrol,Manual,First,17.5,1298,85.8,5,788000
Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,12248,Petrol,Manual,First,18.9,1197,81.86,5,654000
Mahindra Xylo E8 ABS BS IV,Coimbatore,2014,67771,Diesel,Manual,First,11.68,2498,112,8,1167000
Volkswagen Polo GTI,Delhi,2015,60007,Petrol,Automatic,First,17.21,1798,189,4,1015000
Maruti Alto K10 VXI,Coimbatore,2011,48624,Petrol,Manual,First,24.07,998,67.1,5,470000
Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2014,30000,Diesel,Manual,First,22.07,1199,73.9,5,1015000
Hyundai Grand i10 Sportz,Delhi,2016,81605,Petrol,Manual,First,18.9,1197,82,5,745000
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Coimbatore,2017,32642,Diesel,Automatic,First,14.84,2143,170,5,4949000
Hyundai Verna 1.6 SX VTVT AT,Pune,2014,34200,Petrol,Automatic,First,15.74,1591,121.3,5,1425500
Fiat Punto EVO 1.2 Emotion,Chennai,2010,72204,Petrol,Manual,First,15.7,1172,67,5,860000
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Pune,2011,156347,Diesel,Manual,Second,12.99,2494,100,8,2401000
Mahindra TUV 300 2015-2019 mHAWK100 T8 AMT,Kochi,2017,47357,Diesel,Automatic,First,18.49,1493,100,7,1886500
Volkswagen Polo 1.5 TDI Comfortline,Coimbatore,2015,61738,Diesel,Manual,First,20.14,1498,88.8,5,1015000
BMW 5 Series 520d Luxury Line,Kochi,2018,32586,Diesel,Automatic,First,22.48,1995,190,5,6787000
Mercedes-Benz GLE 350d,Coimbatore,2018,40129,Diesel,Automatic,First,11.57,2987,254.79,5,9513000
Mercedes-Benz M-Class ML 350 CDI,Mumbai,2012,51000,Diesel,Automatic,First,11.74,2987,254.8,5,4949000
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,10393,Petrol,Manual,First,18.9,1197,81.86,5,662000
Skoda Superb Elegance 1.8 TSI AT,Mumbai,2011,46000,Petrol,Automatic,First,13.7,1798,157.75,5,3336000
Hyundai i10 Sportz AT,Chennai,2013,21000,Petrol,Automatic,First,16.95,1197,78.9,5,1025000
Hyundai i20 1.4 CRDi Asta,Hyderabad,2011,113562,Diesel,Manual,First,23,1396,90,5,1025000
Mahindra Scorpio VLX,Mumbai,2011,100010,Diesel,Manual,Second,12.05,2179,120,8,1886500
Honda Brio V MT,Mumbai,2013,63107,Petrol,Manual,First,19.4,1198,86.8,5,662000
Hyundai i20 1.2 Magna Executive,Jaipur,2017,58500,Petrol,Manual,First,18.6,1197,81.83,5,1025000
Ford Endeavour 4x2 XLT Limited Edition,Pune,2007,90000,Diesel,Manual,Fourth & Above,10.9,2499,143,7,3529000
Hyundai Verna CRDi SX,Chennai,2011,108242,Diesel,Manual,First,16.8,1493,110,5,1425500
Toyota Fortuner 3.0 Diesel,Pune,2011,146300,Diesel,Manual,First,11.5,2982,171,7,3717000
BMW X1 sDrive20d,Pune,2011,62943,Diesel,Automatic,Second,17.05,1995,184,5,4818000
Toyota Fortuner 4x2 AT,Delhi,2013,65000,Diesel,Automatic,First,12.55,2982,168.5,7,3717000
Honda Amaze V CVT Petrol,Pune,2018,1700,Petrol,Automatic,First,19,1199,88.76,5,944000
Hyundai i10 Era 1.1,Kochi,2013,34697,Petrol,Manual,First,19.81,1086,68.05,5,1025000
Hyundai i20 1.2 Sportz,Hyderabad,2012,58000,Petrol,Manual,First,17,1197,80,5,1025000
BMW 3 Series 320d GT Luxury Line,Mumbai,2015,32500,Diesel,Automatic,First,19.59,1995,187.74,5,5443000
Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,58661,Diesel,Automatic,First,15.17,1968,181,5,4864000
Maruti Swift VXI Optional,Kochi,2017,37124,Petrol,Manual,First,20.4,1197,81.8,5,788000
Maruti Baleno Delta Automatic,Delhi,2017,44000,Petrol,Automatic,First,21.4,1197,83.1,5,880000
